epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4969.39,1.26534,0.83748,1.32752,0.96222,0.95613,0.98593,0.62696,1.34751,0.57769,1.45548,0.007558,0.007558,0.007558
76,5035.42,1.25057,0.84077,1.32279,0.96824,0.94198,0.97975,0.63584,1.32323,0.55165,1.43064,0.007525,0.007525,0.007525
77,5101.27,1.26753,0.84654,1.34716,0.97215,0.94881,0.98644,0.64787,1.29922,0.53623,1.43612,0.007492,0.007492,0.007492
78,5167.06,1.25379,0.83812,1.33787,0.96558,0.95741,0.98789,0.63528,1.32001,0.53403,1.45245,0.007459,0.007459,0.007459
79,5232.83,1.24332,0.81964,1.32078,0.96292,0.95904,0.98165,0.6363,1.33586,0.52896,1.44604,0.007426,0.007426,0.007426
80,5298.33,1.24205,0.82431,1.32115,0.95573,0.95792,0.98409,0.63302,1.3382,0.53371,1.45213,0.007393,0.007393,0.007393
81,5364.23,1.25636,0.82995,1.33128,0.94904,0.95348,0.98054,0.62472,1.34419,0.55728,1.4503,0.00736,0.00736,0.00736
82,5430.2,1.24701,0.83389,1.32968,0.97199,0.94734,0.98273,0.62612,1.35028,0.53251,1.454,0.007327,0.007327,0.007327
83,5496.24,1.23827,0.81722,1.32013,0.95852,0.94651,0.98314,0.62736,1.32626,0.56124,1.43215,0.007294,0.007294,0.007294
84,5562.19,1.22809,0.80549,1.31411,0.96547,0.95427,0.97994,0.62544,1.33202,0.54003,1.45594,0.007261,0.007261,0.007261
85,5628.5,1.22862,0.80838,1.31163,0.95608,0.9659,0.98329,0.63558,1.33932,0.52361,1.4472,0.007228,0.007228,0.007228
86,5694.57,1.20454,0.78941,1.29391,0.95949,0.97016,0.98903,0.63619,1.32484,0.51273,1.45036,0.007195,0.007195,0.007195
87,5760.61,1.23122,0.8011,1.31044,0.98206,0.95563,0.98621,0.63406,1.34651,0.5402,1.46504,0.007162,0.007162,0.007162
88,5826.98,1.21159,0.79343,1.29368,0.97036,0.95563,0.984,0.64231,1.36492,0.52458,1.45971,0.007129,0.007129,0.007129
89,5892.76,1.21453,0.79865,1.29842,0.9608,0.96587,0.98457,0.64499,1.34719,0.51343,1.45355,0.007096,0.007096,0.007096
90,5958.55,1.21903,0.79913,1.29673,0.95598,0.96364,0.98978,0.63488,1.33964,0.52673,1.43519,0.007063,0.007063,0.007063
91,6024.45,1.20551,0.78181,1.28784,0.95226,0.953,0.98014,0.63245,1.35137,0.52789,1.45643,0.00703,0.00703,0.00703
92,6090.33,1.20762,0.8023,1.29385,0.9523,0.97611,0.98724,0.63253,1.32828,0.51262,1.45372,0.006997,0.006997,0.006997
93,6156.24,1.19438,0.78448,1.29236,0.98528,0.94881,0.98643,0.64332,1.30479,0.50967,1.43254,0.006964,0.006964,0.006964
94,6222.26,1.17841,0.7756,1.275,0.96175,0.96246,0.98551,0.62589,1.33756,0.51408,1.45913,0.006931,0.006931,0.006931
95,6288,1.18408,0.7691,1.27465,0.94389,0.97952,0.99016,0.64534,1.32654,0.51909,1.43342,0.006898,0.006898,0.006898
96,6353.89,1.19306,0.76621,1.27901,0.96984,0.95904,0.98771,0.64425,1.32593,0.51981,1.42726,0.006865,0.006865,0.006865
97,6419.61,1.18816,0.76232,1.27833,0.97324,0.94881,0.98494,0.63719,1.33483,0.53225,1.43859,0.006832,0.006832,0.006832
98,6485.66,1.18081,0.75398,1.26494,0.9689,0.93174,0.98497,0.62919,1.35368,0.53165,1.46187,0.006799,0.006799,0.006799
99,6552.02,1.17572,0.76206,1.26387,0.97954,0.93515,0.98512,0.63951,1.33657,0.52888,1.43524,0.006766,0.006766,0.006766
100,6618.1,1.17743,0.75979,1.26284,0.97843,0.94881,0.9832,0.63483,1.33781,0.5342,1.42958,0.006733,0.006733,0.006733
101,6683.89,1.19224,0.79016,1.27852,0.96699,0.95222,0.97732,0.63827,1.31969,0.52469,1.44569,0.0067,0.0067,0.0067
102,6749.83,1.17603,0.76285,1.27193,0.95836,0.94272,0.97269,0.6457,1.3206,0.54313,1.44209,0.006667,0.006667,0.006667
103,6815.85,1.17526,0.76437,1.27281,0.96885,0.95524,0.98063,0.64522,1.30838,0.51407,1.44291,0.006634,0.006634,0.006634
104,6881.92,1.1695,0.75734,1.26665,0.96538,0.95167,0.98362,0.64526,1.31955,0.52085,1.44839,0.006601,0.006601,0.006601
105,6947.97,1.17412,0.75494,1.27202,0.95754,0.95904,0.98369,0.64925,1.30492,0.53269,1.43068,0.006568,0.006568,0.006568
106,7014,1.14543,0.73452,1.25881,0.97557,0.93515,0.9763,0.64463,1.32206,0.54653,1.45095,0.006535,0.006535,0.006535
107,7080.04,1.15899,0.75285,1.2535,0.97641,0.93515,0.97674,0.64474,1.32294,0.52536,1.43923,0.006502,0.006502,0.006502
108,7146.08,1.14839,0.74789,1.25446,0.97541,0.94775,0.97719,0.63647,1.3299,0.5175,1.4563,0.006469,0.006469,0.006469
109,7212.36,1.13937,0.73038,1.24365,0.97191,0.94488,0.9836,0.63795,1.33766,0.52497,1.45795,0.006436,0.006436,0.006436
110,7278.04,1.15226,0.73999,1.25259,0.98202,0.94539,0.9811,0.63566,1.35244,0.50907,1.46852,0.006403,0.006403,0.006403
111,7343.81,1.15416,0.73311,1.24555,0.97865,0.93888,0.98527,0.64335,1.32636,0.50428,1.44734,0.00637,0.00637,0.00637
